"search-number","evaluation","technology-diffusion-method*","word-of-mouth?*","technology-adoption*","technology-awareness*","debug?*","deliberation_rate*","innovation*","leader_w_social*","main_w_social*","hed_w_social*","policy*","num-replicates","best-fitness-so-far"
"1","300","""schwarz_alternative""","true","0","5","false","0.02319598938463233","""showerhead""","0.7947450034384245","0.5950255244615676","0.25691935208597216","""off""","5","29.58"
"2","300","""schwarz_alternative""","true","0","5","false","0.031060238587410232","""showerhead""","0.10628964749163886","1","0.43879809265660746","""off""","5","15.788"
"3","300","""schwarz_alternative""","true","0","5","false","0.01955477276360771","""showerhead""","0.04458115239106646","0.5893410484284531","0.6640004532874741","""off""","5","8.108"
"4","300","""schwarz_alternative""","true","0","5","false","0.030339953344664695","""showerhead""","0.4497412097985677","0.27552175087650216","0.11042348387159373","""off""","5","29.58"
"5","300","""schwarz_alternative""","true","0","5","false","0.01036027645319944","""showerhead""","0.5754547820510043","0","0.518444844349607","""off""","5","17.980000000000004"
"6","300","""schwarz_alternative""","true","0","5","false","0.020482330793150497","""showerhead""","0.3945586203056689","0.31407928117575823","0.34413764483631726","""off""","5","29.58"
"7","300","""schwarz_alternative""","true","0","5","false","0.028683470320907654","""showerhead""","0.4576079473219705","0.9221531482152804","0.49224180433525055","""off""","5","29.58"
"8","300","""schwarz_alternative""","true","0","5","false","0.029718304246880507","""showerhead""","0.4269955113316398","0.43350532904942374","0.042312964497818184","""off""","5","29.58"
"9","300","""schwarz_alternative""","true","0","5","false","0.019007732714586698","""showerhead""","0.7472195313388663","0.9664041925523383","0.23204303198057386","""off""","5","29.58"
"10","300","""schwarz_alternative""","true","0","5","false","0.01764278092583615","""showerhead""","0","0.4674957226991065","0.5956851725541695","""off""","5","8.94"
"11","300","""schwarz_alternative""","true","0","5","false","0.023991777290074776","""showerhead""","1","0.36869697678345803","0","""off""","5","29.38"
"12","300","""schwarz_alternative""","true","0","5","false","0.0064597294200313665","""showerhead""","0.9371481970084371","0.860494987245624","0.30346102222270277","""off""","5","29.58"
"13","300","""schwarz_alternative""","true","0","5","false","0.012666355555244117","""showerhead""","0","0.3356050341425517","0.47624480601381325","""off""","5","8.264"
"14","300","""schwarz_alternative""","true","0","5","false","0.016518361356746867","""showerhead""","0","0.4557694098336069","0.199680571780874","""off""","5","5.72"
"15","300","""schwarz_alternative""","true","0","5","false","0.026531505570199822","""showerhead""","0.3226456665992091","0.9610004694862546","0.4850775223467646","""off""","5","29.58"
"16","300","""schwarz_alternative""","true","0","5","false","0.011457766883714493","""showerhead""","0.3486099885766355","0.2257829868009204","1","""off""","5","15.764000000000001"
"17","300","""schwarz_alternative""","true","0","5","false","0.03562706476179682","""showerhead""","0.7895744033025403","0.9357373897505588","0.979361665789224","""off""","5","29.58"
"18","300","""schwarz_alternative""","true","0","5","false","0.013247003016039333","""showerhead""","0.7361036148907286","0.022838201672022274","0.46401133164172625","""off""","5","18.164"
"19","300","""schwarz_alternative""","true","0","5","false","0.009569460328218602","""showerhead""","0.4161264067948516","0.20798468481025054","0.26363351070590063","""off""","5","18.580000000000002"
"20","300","""schwarz_alternative""","true","0","5","false","0.00803850728857127","""showerhead""","0.15687639905552517","0.20183122640410855","1","""off""","5","10.412"
"21","300","""schwarz_alternative""","true","0","5","false","0.02676599317662986","""showerhead""","0.38117900513733405","0.6026024724457623","0.8732131952525571","""off""","5","29.58"
"22","300","""schwarz_alternative""","true","0","5","false","0.015319624335315784","""showerhead""","0.5430607051058901","0.9987800827259684","0.4046672127200053","""off""","5","29.58"
"23","300","""schwarz_alternative""","true","0","5","false","0.021620553934119793","""showerhead""","0.06261017157770885","0.8036952459551923","0.9955453850416056","""off""","5","8.207999999999998"
"24","300","""schwarz_alternative""","true","0","5","false","0.010447579353346515","""showerhead""","0.4607057004596896","0.29102544071797287","0.6041194308303156","""off""","5","29.58"
